Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie
2010-12-31,3.0847,3.0882,2.9463,2.9579
2011-01-31,2.9757,3.0367,2.8234,2.8677
2011-02-28,2.8549,2.9378,2.8104,2.8692
2011-03-31,2.8608,2.9577,2.8161,2.8386
2011-04-30,2.8368,2.8703,2.6431,2.6528
2011-05-31,2.6633,2.8342,2.6319,2.7491
2011-06-30,2.7332,2.8446,2.6834,2.742
2011-07-31,2.734,2.9359,2.7078,2.7824
2011-08-31,2.7707,2.9774,2.7541,2.8646
2011-09-30,2.8811,3.3666,2.8758,3.2852
2011-10-31,3.3321,3.3572,3.0237,3.1321
2011-11-30,3.2018,3.4362,3.1291,3.346
2011-12-31,3.3393,3.5245,3.2979,3.4443
2012-01-31,3.4354,3.5355,3.1963,3.2382
2012-02-29,3.2505,3.2683,3.0494,3.0842
2012-03-31,3.0959,3.1952,3.0736,3.104
2012-04-30,3.1052,3.2346,3.0896,3.1549
2012-05-31,3.1488,3.5709,3.1376,3.5494
2012-06-30,3.5517,3.6009,3.3226,3.3345
2012-07-31,3.3457,3.5016,3.3188,3.3433
2012-08-31,3.3349,3.3977,3.231,3.3147
2012-09-30,3.321,3.3711,3.086,3.1938
2012-10-31,3.2069,3.2212,3.1074,3.1876
2012-11-30,3.1955,3.3077,3.1367,3.1543
2012-12-31,3.1478,3.2044,3.06,3.0935
2013-01-31,3.0648,3.1728,3.0519,3.0876
2013-02-28,3.0835,3.1998,3.0369,3.1696
2013-03-31,3.1735,3.2811,3.1486,3.2566
2013-04-30,3.2498,3.2833,3.1096,3.1593
2013-05-31,3.161,3.3085,3.128,3.2935
2013-06-30,3.2828,3.3473,3.1518,3.3291
2013-07-31,3.3139,3.3831,3.1675,3.2018
2013-08-31,3.1974,3.2385,3.1245,3.2311
2013-09-30,3.2231,3.2838,3.0609,3.119
2013-10-31,3.119,3.1254,3.0164,3.0753
2013-11-30,3.0765,3.1517,3.073,3.0931
2013-12-31,3.0894,3.1029,2.9859,3.018
2014-01-31,3.0143,3.1556,3.0115,3.1495
2014-02-28,3.1499,3.157,3.0036,3.0102
2014-03-31,3.0312,3.0762,3.0082,3.02
2014-04-30,3.02,3.0461,2.9981,3.0276
2014-05-31,3.0217,3.0642,2.9943,3.0321
2014-06-30,3.0327,3.0728,2.9933,3.0328
2014-07-31,3.0332,3.1219,3.0188,3.1173
2014-08-31,3.1174,3.2145,3.1008,3.2009
2014-09-30,3.2016,3.3209,3.1799,3.3059
2014-10-31,3.3059,3.3746,3.2627,3.3746
2014-11-30,3.3734,3.4215,3.3337,3.3602
2014-12-31,3.358,3.6086,3.337,3.5412
2015-01-31,3.5433,3.7962,3.537,3.7028
2015-02-28,3.6974,3.739,3.6172,3.7052
2015-03-31,3.7084,3.9664,3.6966,3.79365
2015-04-30,3.7937,3.8206,3.5862,3.6039
2015-05-31,3.6042,3.826,3.5266,3.7438
2015-06-30,3.7424,3.8241,3.6429,3.76151
2015-07-31,3.7614,3.8559,3.7052,3.7728
2015-08-31,3.7763,3.8563,3.6296,3.7738
2015-09-30,3.7738,3.8121,3.6657,3.80065
2015-10-31,3.8007,3.935,3.6777,3.8626
2015-11-30,3.8494,4.04871,3.8474,4.03783
2015-12-31,4.03818,4.0586,3.8594,3.92555
2016-01-31,3.93198,4.15579,3.92353,4.07996
2016-02-29,4.08762,4.09605,3.88733,3.99756
2016-03-31,3.99697,4.00455,3.71794,3.72815
2016-04-30,3.72814,3.92946,3.70513,3.8206
2016-05-31,3.8183,3.98738,3.76883,3.94105
2016-06-30,3.94105,4.12774,3.78292,3.93833
2016-07-31,3.93833,4.03365,3.88769,3.89642
2016-08-31,3.89796,3.91825,3.76925,3.91011
2016-09-30,3.91011,3.92921,3.79931,3.82375
2016-10-31,3.82269,3.98628,3.81551,3.92543
2016-11-30,3.92548,4.21679,3.84369,4.20465
2016-12-31,4.20465,4.2792,4.10564,4.18547
2017-01-31,4.19469,4.24217,3.99724,4.00257
2017-02-28,4.00257,4.09853,3.9764,4.0722
2017-03-31,4.0723,4.09883,3.89242,3.96555
2017-04-30,3.9724,4.0113,3.85485,3.8792
2017-05-31,3.874,3.898,3.71145,3.71934
2017-06-30,3.71905,3.82208,3.69615,3.7054
2017-07-31,3.7059,3.75646,3.59139,3.59473
2017-08-31,3.59475,3.66721,3.5298,3.5632
2017-09-30,3.56335,3.69505,3.5132,3.64897
2017-10-31,3.65075,3.6952,3.57024,3.63866
2017-11-30,3.63876,3.67182,3.51574,3.5347
2017-12-31,3.53465,3.59743,3.47105,3.48035
2018-01-31,3.47615,3.5155,3.3076,3.3455
2018-02-28,3.34555,3.43714,3.30895,3.42485
2018-03-31,3.4249,3.45673,3.3681,3.42045
2018-04-30,3.418,3.51165,3.34654,3.50917
2018-05-31,3.50917,3.7663,3.50603,3.69246
2018-06-30,3.69139,3.7839,3.59698,3.74564
2018-07-31,3.74386,3.80124,3.64208,3.65888
2018-08-31,3.65898,3.84081,3.63696,3.70651
2018-09-30,3.70853,3.74889,3.62114,3.6865
2018-10-31,3.68534,3.8411,3.67929,3.83704
2018-11-30,3.83711,3.83856,3.73005,3.79117
2018-12-31,3.78494,3.81395,3.72964,3.74105
2019-01-31,3.74041,3.80159,3.70769,3.72365
2019-02-28,3.72331,3.85962,3.71996,3.785
2019-03-31,3.78419,3.85942,3.73963,3.83745
2019-04-30,3.8311,3.86441,3.77465,3.82155
2019-05-31,3.8214,3.87732,3.80045,3.83271
2019-06-30,3.8344,3.83702,3.7264,3.7336
2019-07-31,3.73395,3.87958,3.73212,3.87505
2019-08-31,3.875,3.99755,3.8412,3.98041
2019-09-30,3.98315,4.0226,3.89485,4.01056
2019-10-31,4.01081,4.0246,3.81105,3.82239
2019-11-30,3.82237,3.93329,3.8043,3.9162
2019-12-31,3.91461,3.91759,3.78555,3.7938
2020-01-31,3.79557,3.90374,3.77898,3.87436
2020-02-29,3.87608,3.98267,3.84977,3.92137
2020-03-31,3.91793,4.30796,3.75672,4.13216
2020-04-30,4.13325,4.25195,4.11132,4.14946
2020-05-31,4.15003,4.2414,3.98822,4.00709
2020-06-30,3.99202,4.00198,3.8881,3.95887
2020-07-31,3.95874,3.98706,3.69908,3.74482
2020-08-31,3.75165,3.77954,3.6606,3.68275
2020-09-30,3.68285,3.93989,3.65609,3.86325
2020-10-31,3.86325,3.97163,3.7712,3.95484
2020-11-30,3.95734,3.97135,3.72656,3.7541
2020-12-31,3.75418,3.76072,3.61702,3.7346
2021-01-31,3.72685,3.77465,3.6522,3.72404
2021-02-28,3.72655,3.76577,3.68075,3.7466
2021-03-31,3.74428,3.9831,3.73015,3.94988
2021-04-30,3.9499,3.95562,3.75848,3.79148
2021-05-31,3.79001,3.82144,3.65365,3.66317
2021-06-30,3.66285,3.84508,3.64016,3.81105
2021-07-31,3.81105,3.91386,3.78143,3.85285
2021-08-31,3.84825,3.93619,3.81036,3.83065
2021-09-30,3.83065,4.0164,3.78632,3.98072
2021-10-31,3.98073,4.0066,3.91915,3.9907
2021-11-30,3.98921,4.20125,3.94455,4.11015
2021-12-31,4.10775,4.12335,4.02812,4.0341
2022-01-31,4.03605,4.12355,3.9428,4.0782
2022-02-28,4.07825,4.24163,3.913,4.19083
2022-03-31,4.19085,4.6203,4.14961,4.1994
2022-04-30,4.19895,4.49295,4.1911,4.43105
2022-05-31,4.43568,4.52779,4.36988,4.382
